EmployeeID,Experience,EducationLevel,PerformanceScore,Age,Department,Gender,WorkHours,Salary
85020,20,4,2.85,38,HR,Female,49,77128.57076505617
33228,39,2,2.1,31,IT,Male,32,101500.67849414407
39954,38,4,4.11,22,Finance,Female,39,71640.44269050346
85682,7,2,2.28,49,HR,Female,33,56831.149282040125
71550,15,4,4.9,49,Marketing,Female,31,80422.23312638332
33447,16,3,4.46,44,Sales,Female,41,59231.3152152541
70883,37,2,2.12,38,Sales,Female,37,82638.06407753695
42208,32,2,3.65,28,Finance,Male,36,67918.17364576455
11352,20,4,3.84,48,Sales,Female,32,80413.62807032524
58413,24,4,4.07,37,Marketing,Male,32,57487.80021792982
15934,27,1,3.48,39,IT,Male,49,67358.91153593769
29657,5,2,1.66,61,Finance,Female,32,93941.35123214872
88716,10,1,2.08,55,Marketing,Male,39,61418.81135783017
39101,20,2,4.3,40,HR,Female,36,67861.598776711
25890,26,4,2.02,64,HR,Female,50,44106.410837434836
44212,36,4,4.73,31,Finance,Female,55,75156.56235379513
13013,16,4,3.79,50,HR,Female,40,67701.84439832788
85374,29,2,1.32,62,Sales,Female,55,57822.23666297637
85417,31,3,4.54,42,IT,Female,57,93779.87962239394
76951,22,4,2.0,48,IT,Male,34,103855.48149332355
97322,33,4,1.91,63,Finance,Male,41,86116.24384460777
10751,18,2,4.71,32,HR,Female,35,60631.118497567324
67457,4,3,1.78,50,Marketing,Male,53,80495.64102343962
25133,12,2,1.23,52,HR,Female,30,71952.25906893272
63820,3,3,4.36,35,Sales,Female,44,60780.086377374086
3330,36,3,3.1,37,Marketing,Male,36,78707.61294854933
47820,29,3,1.49,52,HR,Male,39,62503.03211288848
12236,2,1,2.48,58,Finance,Male,49,98091.49009172837
67240,22,3,2.02,41,HR,Male,38,59459.80655040598
30927,36,4,1.13,23,HR,Male,36,49571.531251033615
41165,40,4,4.73,46,Marketing,Male,35,82836.46693885302
1093,29,3,1.52,49,Marketing,Female,34,92174.39092254468
